ID,satisfaction
46587,dissatisfied
124920,satisfied
18490,satisfied
78644,satisfied
92713,satisfied
29882,satisfied
16469,dissatisfied
58685,satisfied
30677,dissatisfied
8056,satisfied
18803,satisfied
74236,dissatisfied
3092,dissatisfied
48867,dissatisfied
67990,dissatisfied
2998,satisfied
108800,dissatisfied
62849,satisfied
98165,satisfied
84262,satisfied
97554,satisfied
76788,dissatisfied
93990,satisfied
53337,satisfied
84206,dissatisfied
47686,dissatisfied
23351,dissatisfied
16765,dissatisfied
11749,dissatisfied
123340,satisfied
93035,satisfied
92179,satisfied
14773,dissatisfied
62476,satisfied
59521,dissatisfied
50069,dissatisfied
58350,satisfied
111729,dissatisfied
49302,satisfied
99958,dissatisfied
45262,satisfied
871,satisfied
127572,satisfied
99768,satisfied
78878,satisfied
1166,dissatisfied
81482,dissatisfied
67102,dissatisfied
13845,dissatisfied
79679,satisfied
126133,satisfied
39631,satisfied
126071,satisfied
86071,satisfied
120410,satisfied
33901,satisfied
100000,satisfied
3609,satisfied
60419,satisfied
120595,satisfied
47831,satisfied
114446,satisfied
43031,dissatisfied
33174,satisfied
25014,satisfied
23914,satisfied
30707,satisfied
49317,satisfied
23311,satisfied
66760,dissatisfied
112570,dissatisfied
112240,satisfied
28777,satisfied
6268,dissatisfied
128535,satisfied
101760,satisfied
24623,satisfied
70049,dissatisfied
82152,dissatisfied
25320,satisfied
30405,satisfied
112953,satisfied
2014,satisfied
96518,satisfied
82853,dissatisfied
41782,dissatisfied
60099,satisfied
99913,satisfied
100597,satisfied
11580,dissatisfied
1725,dissatisfied
66902,dissatisfied
54494,satisfied
84783,dissatisfied
122037,satisfied
85242,satisfied
54408,dissatisfied
105975,satisfied
86075,satisfied
114686,satisfied
109853,satisfied
22180,satisfied
108525,satisfied
49520,dissatisfied
72229,satisfied
72663,satisfied
35942,satisfied
21630,satisfied
112924,satisfied
53050,satisfied
69921,satisfied
32808,dissatisfied
119761,satisfied
42533,satisfied
58330,satisfied
660,dissatisfied
10080,satisfied
85953,dissatisfied
3835,dissatisfied
117459,satisfied
5723,dissatisfied
72818,dissatisfied
101594,dissatisfied
44306,dissatisfied
53532,dissatisfied
47183,satisfied
128575,satisfied
90782,satisfied
125876,satisfied
62471,satisfied
85373,satisfied
99837,dissatisfied
84423,satisfied
106490,satisfied
110537,satisfied
48450,dissatisfied
63712,satisfied
83431,dissatisfied
11081,satisfied
79136,dissatisfied
43909,dissatisfied
11317,dissatisfied
86778,dissatisfied
40528,satisfied
110356,satisfied
69789,satisfied
76283,dissatisfied
81609,satisfied
108921,satisfied
96413,satisfied
3696,dissatisfied
106710,dissatisfied
82338,dissatisfied
55059,dissatisfied
100062,satisfied
47604,satisfied
92695,satisfied
19733,dissatisfied
30126,dissatisfied
15138,dissatisfied
39873,dissatisfied
16007,dissatisfied
103652,satisfied
122454,satisfied
70848,dissatisfied
45978,satisfied
98960,satisfied
12748,dissatisfied
74198,dissatisfied
84701,dissatisfied
39404,satisfied
11767,dissatisfied
3706,dissatisfied
30779,dissatisfied
8812,dissatisfied
41920,dissatisfied
95011,satisfied
119722,satisfied
41043,dissatisfied
75762,satisfied
52211,dissatisfied
2041,dissatisfied
8055,dissatisfied
27324,dissatisfied
86014,satisfied
21858,satisfied
23671,satisfied
109530,satisfied
44360,satisfied
94025,satisfied
30900,dissatisfied
64059,satisfied
56111,satisfied
71117,satisfied
113321,satisfied
48592,satisfied
78751,satisfied
39654,satisfied
11910,satisfied
64828,satisfied
32075,satisfied
114054,satisfied
85354,satisfied
16845,satisfied
97524,dissatisfied
58793,satisfied
90738,satisfied
24075,satisfied
63786,satisfied
124341,dissatisfied
81838,satisfied
122982,satisfied
74917,dissatisfied
102702,satisfied
60599,dissatisfied
71980,dissatisfied
62094,satisfied
70000,satisfied
98512,satisfied
99954,satisfied
71815,dissatisfied
67850,satisfied
13488,satisfied
76063,satisfied
109448,satisfied
2583,satisfied
27084,dissatisfied
15072,dissatisfied
47928,dissatisfied
76789,satisfied
95856,satisfied
115900,satisfied
104027,satisfied
96886,satisfied
88147,satisfied
67972,dissatisfied
99950,satisfied
78197,dissatisfied
65344,dissatisfied
81756,satisfied
115320,dissatisfied
58682,satisfied
71944,dissatisfied
46648,satisfied
23854,satisfied
61767,satisfied
62146,satisfied
38614,satisfied
76691,satisfied
62154,satisfied
112366,satisfied
47583,dissatisfied
82687,satisfied
35337,satisfied
76009,dissatisfied
129262,satisfied
118318,satisfied
124602,satisfied
87213,satisfied
27550,dissatisfied
75071,dissatisfied
93633,satisfied
5998,satisfied
35875,satisfied
101250,satisfied
118146,satisfied
11798,dissatisfied
50697,satisfied
109574,dissatisfied
123389,satisfied
96507,dissatisfied
15343,satisfied
85030,dissatisfied
66562,satisfied
100777,dissatisfied
114251,satisfied
89441,satisfied
124726,satisfied
41192,satisfied
35487,satisfied
116654,satisfied
91493,satisfied
84018,dissatisfied
100313,satisfied
123952,satisfied
83529,dissatisfied
126421,satisfied
28859,dissatisfied
23237,satisfied
90069,satisfied
26730,satisfied
43471,dissatisfied
68302,dissatisfied
69028,satisfied
6516,dissatisfied
82206,dissatisfied
38782,satisfied
63083,dissatisfied
67848,satisfied
58655,satisfied
30739,dissatisfied
78880,dissatisfied
100827,satisfied
21940,dissatisfied
59452,dissatisfied
40907,dissatisfied
48873,dissatisfied
112187,satisfied
119688,satisfied
66830,dissatisfied
43411,dissatisfied
120221,satisfied
102344,satisfied
15381,satisfied
7964,satisfied
23675,satisfied
29450,dissatisfied
27366,satisfied
11367,satisfied
40081,satisfied
2002,satisfied
46535,satisfied
49319,dissatisfied
72165,dissatisfied
75454,dissatisfied
95115,satisfied
5915,dissatisfied
63670,satisfied
36840,dissatisfied
110145,dissatisfied
15094,dissatisfied
30567,dissatisfied
121757,satisfied
103139,satisfied
82186,dissatisfied
75386,dissatisfied
123566,satisfied
47187,dissatisfied
95059,satisfied
103169,satisfied
126940,satisfied
29004,satisfied
4104,dissatisfied
52736,satisfied
112903,satisfied
35971,dissatisfied
93629,dissatisfied
10429,satisfied
47643,dissatisfied
50718,satisfied
49502,dissatisfied
5943,satisfied
48533,satisfied
20869,satisfied
69624,dissatisfied
49556,dissatisfied
78921,satisfied
20177,satisfied
17664,dissatisfied
10361,satisfied
7583,dissatisfied
111187,dissatisfied
100612,satisfied
50701,satisfied
63194,satisfied
121299,satisfied
40794,dissatisfied
7437,dissatisfied
76960,satisfied
94793,satisfied
112444,satisfied
105591,satisfied
17922,dissatisfied
69191,dissatisfied
15112,satisfied
55231,satisfied
92921,dissatisfied
25002,satisfied
120847,satisfied
117061,satisfied
122566,satisfied
12095,satisfied
42272,satisfied
39833,dissatisfied
29664,satisfied
32479,satisfied
73049,satisfied
80621,satisfied
111194,satisfied
113464,satisfied
20000,satisfied
127688,satisfied
81619,satisfied
70703,satisfied
10056,satisfied
121991,satisfied
35749,satisfied
50692,satisfied
12024,dissatisfied
89322,satisfied
77868,satisfied
31048,satisfied
242,dissatisfied
69043,dissatisfied
31360,dissatisfied
70930,dissatisfied
115399,satisfied
848,satisfied
31653,dissatisfied
101928,dissatisfied
28607,satisfied
125635,satisfied
128155,satisfied
7705,dissatisfied
11577,dissatisfied
54669,dissatisfied
83284,dissatisfied
122051,dissatisfied
67014,dissatisfied
81932,satisfied
70185,dissatisfied
1597,satisfied
112319,satisfied
30758,satisfied
40233,satisfied
50598,satisfied
11186,satisfied
119948,satisfied
35069,satisfied
121859,satisfied
81167,dissatisfied
10794,dissatisfied
35617,satisfied
106360,satisfied
40469,dissatisfied
60901,satisfied
104555,satisfied
30171,satisfied
61951,satisfied
27842,satisfied
119485,satisfied
109626,dissatisfied
102900,satisfied
110899,satisfied
45582,dissatisfied
128320,satisfied
84307,satisfied
83005,dissatisfied
35806,satisfied
60847,satisfied
14593,satisfied
121428,satisfied
105241,satisfied
39176,satisfied
17739,satisfied
60515,dissatisfied
17951,satisfied
68720,dissatisfied
16622,dissatisfied
48962,dissatisfied
77311,satisfied
16803,dissatisfied
48490,satisfied
108740,satisfied
96764,dissatisfied
4275,dissatisfied
123956,satisfied
20880,satisfied
76397,dissatisfied
39203,satisfied
39771,dissatisfied
24799,satisfied
90625,dissatisfied
47550,satisfied
16746,dissatisfied
118423,dissatisfied
64734,dissatisfied
59234,satisfied
55046,dissatisfied
12054,satisfied
121903,satisfied
75047,satisfied
124630,satisfied
71673,dissatisfied
83367,satisfied
67724,dissatisfied
25854,satisfied
22370,dissatisfied
129247,satisfied
8451,dissatisfied
89758,satisfied
100666,dissatisfied
109691,satisfied
42139,dissatisfied
62367,satisfied
123211,dissatisfied
18141,satisfied
91312,satisfied
72132,dissatisfied
113066,satisfied
47805,dissatisfied
14625,satisfied
25273,satisfied
109320,satisfied
13188,satisfied
9907,satisfied
112274,dissatisfied
56151,dissatisfied
37624,satisfied
42800,satisfied
123266,satisfied
101797,dissatisfied
44154,dissatisfied
102067,dissatisfied
110344,satisfied
100144,satisfied
74991,dissatisfied
21799,dissatisfied
5048,dissatisfied
96072,satisfied
21181,satisfied
53499,dissatisfied
84741,satisfied
62937,satisfied
122922,satisfied
30091,satisfied
73295,dissatisfied
766,dissatisfied
126673,satisfied
4578,dissatisfied
37210,satisfied
56097,dissatisfied
118569,satisfied
122422,satisfied
67834,dissatisfied
120584,satisfied
104578,dissatisfied
91634,satisfied
117133,satisfied
14795,dissatisfied
102961,satisfied
53484,dissatisfied
29180,satisfied
113216,satisfied
123535,satisfied
77024,satisfied
116127,satisfied
14669,satisfied
102109,satisfied
84002,dissatisfied
105793,satisfied
91879,satisfied
42777,dissatisfied
61610,satisfied
122874,satisfied
10953,satisfied
25802,dissatisfied
123159,satisfied
93684,satisfied
24095,dissatisfied
276,dissatisfied
37678,dissatisfied
112301,satisfied
121241,satisfied
105988,satisfied
31586,dissatisfied
46972,dissatisfied
42629,dissatisfied
7718,dissatisfied
140,dissatisfied
65611,dissatisfied
11571,satisfied
4065,dissatisfied
117976,satisfied
104220,satisfied
3747,satisfied
95254,satisfied
27283,satisfied
51612,satisfied
104645,dissatisfied
62188,satisfied
21897,satisfied
93654,dissatisfied
90706,dissatisfied
91237,satisfied
84285,satisfied
67532,dissatisfied
125136,satisfied
123044,satisfied
91049,satisfied
88336,satisfied
114236,satisfied
111873,satisfied
14167,satisfied
52897,satisfied
82989,satisfied
93073,satisfied
79334,satisfied
44990,satisfied
106701,satisfied
63321,dissatisfied
11404,satisfied
78778,dissatisfied
6477,dissatisfied
124655,satisfied
54417,dissatisfied
88795,satisfied
113338,satisfied
102873,satisfied
125236,satisfied
113389,satisfied
67779,dissatisfied
84940,dissatisfied
15855,dissatisfied
116760,satisfied
80084,dissatisfied
63967,satisfied
83963,satisfied
10709,satisfied
104618,satisfied
111538,satisfied
33330,satisfied
30583,dissatisfied
19427,satisfied
77899,dissatisfied
55616,satisfied
46417,dissatisfied
62641,satisfied
124447,satisfied
4150,dissatisfied
43976,satisfied
111551,satisfied
26242,satisfied
98939,satisfied
18172,dissatisfied
77061,dissatisfied
118679,satisfied
58512,satisfied
101713,satisfied
79690,satisfied
17633,satisfied
59245,dissatisfied
122444,satisfied
78726,satisfied
114039,satisfied
59027,dissatisfied
22336,dissatisfied
6496,dissatisfied
11393,satisfied
97064,satisfied
57353,satisfied
96660,dissatisfied
85479,satisfied
96008,satisfied
113315,satisfied
73600,dissatisfied
75511,dissatisfied
8311,dissatisfied
82239,satisfied
108805,satisfied
57959,satisfied
5985,dissatisfied
65033,satisfied
83509,dissatisfied
75745,dissatisfied
79730,satisfied
106776,dissatisfied
109020,satisfied
113616,satisfied
125198,satisfied
79848,satisfied
62400,satisfied
92203,satisfied
114485,satisfied
6189,dissatisfied
48704,dissatisfied
41757,dissatisfied
44024,dissatisfied
85618,satisfied
5343,dissatisfied
124764,satisfied
78419,dissatisfied
33240,satisfied
103524,satisfied
81788,satisfied
76547,dissatisfied
1750,satisfied
64244,satisfied
115317,satisfied
65647,dissatisfied
67952,dissatisfied
35421,satisfied
1886,dissatisfied
10622,dissatisfied
13182,satisfied
72281,dissatisfied
108004,satisfied
25558,satisfied
42657,dissatisfied
126219,satisfied
18202,satisfied
113941,satisfied
69937,dissatisfied
63907,satisfied
64715,satisfied
84812,satisfied
75557,dissatisfied
67020,satisfied
68458,dissatisfied
125033,satisfied
65770,dissatisfied
72006,dissatisfied
36050,satisfied
2385,satisfied
66886,dissatisfied
80417,dissatisfied
32661,satisfied
83860,satisfied
46176,dissatisfied
111278,satisfied
38772,satisfied
128218,satisfied
108714,satisfied
98508,satisfied
1430,dissatisfied
30889,dissatisfied
3939,satisfied
9303,satisfied
107639,satisfied
106952,satisfied
63745,satisfied
83212,dissatisfied
90246,satisfied
61539,satisfied
12813,satisfied
104847,satisfied
50016,dissatisfied
93147,satisfied
99994,satisfied
68043,dissatisfied
118749,satisfied
105984,satisfied
71715,dissatisfied
95035,satisfied
12199,dissatisfied
96202,satisfied
73584,dissatisfied
87560,dissatisfied
123970,satisfied
100018,satisfied
94474,satisfied
106615,satisfied
120964,satisfied
66942,satisfied
63608,dissatisfied
93110,satisfied
25739,satisfied
61388,satisfied
124013,satisfied
74640,dissatisfied
121105,satisfied
9570,dissatisfied
18563,dissatisfied
72588,satisfied
49899,dissatisfied
54143,dissatisfied
56794,dissatisfied
89616,satisfied
30327,satisfied
3154,satisfied
104206,dissatisfied
27683,satisfied
55747,dissatisfied
1995,dissatisfied
65664,satisfied
4775,satisfied
47731,dissatisfied
83738,satisfied
47717,satisfied
75464,dissatisfied
70630,satisfied
121112,satisfied
129849,dissatisfied
24204,satisfied
8666,satisfied
73130,dissatisfied
49192,dissatisfied
28929,satisfied
106476,satisfied
38816,satisfied
74564,dissatisfied
80364,dissatisfied
46943,dissatisfied
42486,satisfied
122687,satisfied
101151,satisfied
45166,satisfied
107001,satisfied
48615,satisfied
8655,satisfied
2140,satisfied
90220,satisfied
91167,satisfied
94002,dissatisfied
48782,satisfied
21865,satisfied
124073,satisfied
16083,satisfied
71933,satisfied
52168,dissatisfied
95609,dissatisfied
96750,satisfied
49760,satisfied
38457,dissatisfied
87825,dissatisfied
71262,satisfied
36597,dissatisfied
44277,dissatisfied
103600,satisfied
68460,dissatisfied
50080,dissatisfied
111281,satisfied
13828,satisfied
55581,satisfied
50656,satisfied
55100,satisfied
85452,dissatisfied
95468,satisfied
15590,dissatisfied
67246,dissatisfied
96811,satisfied
31677,dissatisfied
83604,satisfied
114725,dissatisfied
14976,satisfied
65200,dissatisfied
65914,satisfied
106070,satisfied
51836,dissatisfied
97856,dissatisfied
80764,satisfied
48260,dissatisfied
103135,satisfied
99240,satisfied
88881,satisfied
98045,satisfied
27635,dissatisfied
117465,satisfied
10300,dissatisfied
124358,satisfied
111435,satisfied
112066,satisfied
85971,dissatisfied
116848,satisfied
107705,satisfied
39372,satisfied
89339,dissatisfied
26636,satisfied
19156,satisfied
4677,dissatisfied
77154,dissatisfied
25296,dissatisfied
105205,satisfied
22314,dissatisfied
84876,dissatisfied
1498,satisfied
53748,dissatisfied
95445,satisfied
81548,dissatisfied
117575,satisfied
18397,satisfied
91976,satisfied
71938,dissatisfied
124981,satisfied
20486,satisfied
109400,satisfied
121934,satisfied
108734,satisfied
68515,dissatisfied
76597,satisfied
61352,satisfied
77650,dissatisfied
16123,satisfied
12221,satisfied
85096,dissatisfied
28077,satisfied
962,dissatisfied
13683,dissatisfied
55538,satisfied
59395,dissatisfied
20392,dissatisfied
22507,satisfied
113022,satisfied
76490,satisfied
115859,satisfied
89033,satisfied
128351,satisfied
71601,dissatisfied
95041,satisfied
71423,dissatisfied
32747,satisfied
108383,dissatisfied
127915,dissatisfied
101061,satisfied
34694,dissatisfied
32232,satisfied
50616,satisfied
77846,dissatisfied
105626,satisfied
59868,dissatisfied
317,dissatisfied
68455,dissatisfied
59233,dissatisfied
91993,satisfied
19119,satisfied
126229,satisfied
14102,satisfied
97688,satisfied
54493,satisfied
97928,satisfied
114383,dissatisfied
51958,dissatisfied
22722,satisfied
122106,satisfied
104871,satisfied
87306,dissatisfied
109186,dissatisfied
69745,dissatisfied
97180,satisfied
15314,satisfied
96602,dissatisfied
31335,dissatisfied
3031,dissatisfied
94122,dissatisfied
124759,satisfied
106319,satisfied
33907,dissatisfied
52102,satisfied
128054,satisfied
17788,dissatisfied
27838,satisfied
8920,dissatisfied
3872,dissatisfied
16188,dissatisfied
105664,satisfied
52314,dissatisfied
21688,dissatisfied
87114,satisfied
15445,dissatisfied
77233,dissatisfied
73388,satisfied
83669,dissatisfied
128381,satisfied
113282,satisfied
8721,satisfied
105192,satisfied
74566,dissatisfied
116649,satisfied
128459,satisfied
86641,satisfied
95005,satisfied
63303,satisfied
11409,dissatisfied
58326,dissatisfied
34349,satisfied
127046,satisfied
42437,dissatisfied
4474,satisfied
66018,satisfied
105184,satisfied
19745,satisfied
34613,satisfied
110334,dissatisfied
104736,satisfied
94335,dissatisfied
53149,dissatisfied
68040,dissatisfied
31281,dissatisfied
81426,satisfied
36856,dissatisfied
28416,satisfied
113071,satisfied
86584,satisfied
99048,satisfied
122047,satisfied
62387,satisfied
18645,satisfied
50823,dissatisfied
84570,dissatisfied
74620,dissatisfied
36094,dissatisfied
127681,satisfied
18878,satisfied
65927,dissatisfied
74546,satisfied
63137,satisfied
22576,dissatisfied
67146,satisfied
34343,satisfied
126776,satisfied
59663,satisfied
35437,satisfied
120025,satisfied
115192,satisfied
88635,dissatisfied
20089,satisfied
36479,satisfied
39693,satisfied
27012,satisfied
71000,dissatisfied
38332,dissatisfied
5965,satisfied
85896,dissatisfied
49490,dissatisfied
101939,satisfied
55845,dissatisfied
12716,satisfied
47426,satisfied
128410,satisfied
44372,dissatisfied
41376,satisfied
76314,satisfied
98651,satisfied
14890,satisfied
16629,dissatisfied
120539,satisfied
104174,satisfied
11840,dissatisfied
52127,satisfied
55034,dissatisfied
27130,dissatisfied
40279,dissatisfied
78983,dissatisfied
129625,satisfied
69127,satisfied
129194,satisfied
49998,dissatisfied
72521,dissatisfied
124305,satisfied
76572,dissatisfied
54491,dissatisfied
101413,satisfied
103409,dissatisfied
13343,satisfied
79780,satisfied
127211,satisfied
26736,dissatisfied
16591,satisfied
27369,satisfied
1379,satisfied
4080,satisfied
42524,dissatisfied
23917,satisfied
21346,satisfied
26042,satisfied
103205,satisfied
59825,dissatisfied
643,dissatisfied
66403,dissatisfied
86245,dissatisfied
65646,satisfied
102261,satisfied
122462,satisfied
78021,dissatisfied
126296,satisfied
108542,satisfied
28292,satisfied
39817,satisfied
18197,satisfied
55704,satisfied
30161,dissatisfied
123913,satisfied
47526,satisfied
2498,dissatisfied
52799,dissatisfied
117968,satisfied
20408,satisfied
11715,satisfied
110792,satisfied
79627,dissatisfied
116952,satisfied
122306,satisfied
41956,dissatisfied
14655,dissatisfied
7623,satisfied
23652,dissatisfied
78043,dissatisfied
65930,dissatisfied
33008,satisfied
76809,satisfied
62795,satisfied
124055,satisfied
108871,satisfied
3726,dissatisfied
111402,dissatisfied
21156,satisfied
68595,dissatisfied
103766,satisfied
12364,satisfied
85929,satisfied
88744,dissatisfied
125006,satisfied
20672,satisfied
87258,satisfied
112448,satisfied
126810,satisfied
88736,satisfied
39880,dissatisfied
42028,dissatisfied
118603,satisfied
35162,dissatisfied
95482,satisfied
16371,dissatisfied
23941,satisfied
26714,satisfied
121143,satisfied
57649,dissatisfied
126336,satisfied
36974,satisfied
47448,dissatisfied
115010,satisfied
78509,satisfied
99712,satisfied
52112,dissatisfied
55610,dissatisfied
23272,satisfied
24792,satisfied
76594,dissatisfied
24613,satisfied
109931,satisfied
2286,satisfied
109329,satisfied
98240,satisfied
104822,satisfied
25105,satisfied
1487,dissatisfied
102792,satisfied
71969,dissatisfied
36181,dissatisfied
30735,satisfied
97307,satisfied
40158,satisfied
64138,satisfied
32087,satisfied
33392,satisfied
87970,satisfied
73442,satisfied
104715,satisfied
2389,dissatisfied
57221,satisfied
8784,satisfied
118081,satisfied
71278,satisfied
8650,satisfied
20314,satisfied
110806,satisfied
30650,satisfied
117119,satisfied
7316,dissatisfied
81716,dissatisfied
84877,satisfied
79918,dissatisfied
81875,satisfied
99030,satisfied
5515,dissatisfied
74681,dissatisfied
33672,satisfied
108210,satisfied
126896,satisfied
72647,satisfied
34066,dissatisfied
78178,dissatisfied
106239,satisfied
58266,dissatisfied
24791,dissatisfied
58706,satisfied
87210,dissatisfied
12805,dissatisfied
84267,satisfied
3378,dissatisfied
89401,satisfied
127314,satisfied
17377,dissatisfied
38862,satisfied
74399,dissatisfied
52581,dissatisfied
121034,satisfied
32146,satisfied
45444,dissatisfied
90733,dissatisfied
54335,satisfied
53462,dissatisfied
98136,satisfied
106393,satisfied
117958,satisfied
17555,dissatisfied
54167,dissatisfied
23953,satisfied
127480,satisfied
56241,dissatisfied
121411,satisfied
120018,satisfied
63361,dissatisfied
82282,dissatisfied
72589,dissatisfied
99963,satisfied
109842,satisfied
79196,satisfied
86265,dissatisfied
71982,dissatisfied
3503,dissatisfied
51355,satisfied
118915,satisfied
42020,dissatisfied
76539,satisfied
79469,dissatisfied
93219,dissatisfied
100315,satisfied
27209,satisfied
69982,dissatisfied
8475,satisfied
33501,satisfied
69650,dissatisfied
40983,dissatisfied
46996,dissatisfied
56307,dissatisfied
21196,satisfied
111549,satisfied
22151,dissatisfied
59814,dissatisfied
33082,satisfied
110214,satisfied
97006,satisfied
122207,satisfied
6647,satisfied
53600,satisfied
76086,dissatisfied
76154,dissatisfied
39645,satisfied
82367,satisfied
29743,satisfied
55517,satisfied
10723,satisfied
129565,satisfied
30289,dissatisfied
42937,dissatisfied
124904,satisfied
65358,dissatisfied
104167,dissatisfied
93933,satisfied
7556,dissatisfied
87739,satisfied
56534,dissatisfied
1050,satisfied
62574,dissatisfied
30548,satisfied
60243,dissatisfied
19066,satisfied
118867,satisfied
25911,dissatisfied
92340,satisfied
80374,satisfied
96162,satisfied
28006,satisfied
17253,satisfied
44208,dissatisfied
14889,dissatisfied
92242,satisfied
82692,satisfied
52915,satisfied
13156,dissatisfied
2923,dissatisfied
24487,satisfied
60923,dissatisfied
74329,dissatisfied
108243,satisfied
83585,dissatisfied
52224,satisfied
29414,dissatisfied
75936,satisfied
19002,dissatisfied
77091,dissatisfied
58491,satisfied
46281,dissatisfied
97337,satisfied
3211,dissatisfied
124594,satisfied
107021,satisfied
40385,satisfied
127818,satisfied
104696,satisfied
116533,satisfied
5379,dissatisfied
91664,dissatisfied
29173,satisfied
110494,satisfied
12486,satisfied
85617,dissatisfied
28946,satisfied
17478,satisfied
120116,satisfied
43333,dissatisfied
92897,dissatisfied
25503,satisfied
84348,dissatisfied
23787,satisfied
44701,satisfied
82608,dissatisfied
77982,satisfied
89535,satisfied
22174,dissatisfied
97448,satisfied
27864,satisfied
109144,satisfied
59642,satisfied
83490,satisfied
102633,satisfied
59303,satisfied
8412,satisfied
47304,dissatisfied
112173,satisfied
72787,dissatisfied
17419,dissatisfied
71128,dissatisfied
97414,satisfied
30291,dissatisfied
7051,dissatisfied
116250,satisfied
46237,satisfied
105722,satisfied
91978,satisfied
118293,satisfied
42112,dissatisfied
16416,satisfied
94879,dissatisfied
27924,dissatisfied
116618,satisfied
64875,satisfied
96136,satisfied
80423,satisfied
32679,dissatisfied
77743,dissatisfied
44106,dissatisfied
103854,dissatisfied
70037,dissatisfied
38175,satisfied
93258,satisfied
25938,dissatisfied
117408,dissatisfied
32180,satisfied
34465,satisfied
22026,satisfied
90163,dissatisfied
31090,dissatisfied
37104,satisfied
33258,dissatisfied
50886,satisfied
30471,dissatisfied
68349,dissatisfied
52490,dissatisfied
103873,satisfied
64475,satisfied
98582,satisfied
50544,dissatisfied
36734,satisfied
73301,satisfied
14914,satisfied
110182,satisfied
19826,dissatisfied
62492,satisfied
34292,dissatisfied
41466,satisfied
128801,satisfied
91057,satisfied
123806,satisfied
13875,satisfied
114534,satisfied
83871,dissatisfied
123295,satisfied
5690,dissatisfied
123696,satisfied
24098,dissatisfied
57408,dissatisfied
56488,dissatisfied
77652,satisfied
69226,dissatisfied
117736,satisfied
49593,dissatisfied
83357,dissatisfied
81802,dissatisfied
118206,dissatisfied
12839,satisfied
86809,satisfied
124168,satisfied
16994,dissatisfied
92614,satisfied
73410,dissatisfied
105099,satisfied
127764,satisfied
43087,dissatisfied
77220,satisfied
97364,satisfied
