ID,satisfaction
46587,unsatisfied
124920,satisfied
18490,satisfied
78644,unsatisfied
92713,satisfied
29882,satisfied
16469,unsatisfied
58685,satisfied
30677,unsatisfied
8056,satisfied
18803,satisfied
74236,unsatisfied
3092,unsatisfied
48867,unsatisfied
67990,unsatisfied
2998,satisfied
108800,satisfied
62849,satisfied
98165,satisfied
84262,unsatisfied
97554,satisfied
76788,unsatisfied
93990,satisfied
53337,unsatisfied
84206,unsatisfied
47686,unsatisfied
23351,unsatisfied
16765,unsatisfied
11749,unsatisfied
123340,satisfied
93035,satisfied
92179,satisfied
14773,unsatisfied
62476,satisfied
59521,unsatisfied
50069,unsatisfied
58350,unsatisfied
111729,satisfied
49302,unsatisfied
99958,satisfied
45262,unsatisfied
871,satisfied
127572,satisfied
99768,satisfied
78878,satisfied
1166,satisfied
81482,satisfied
67102,unsatisfied
13845,unsatisfied
79679,satisfied
126133,satisfied
39631,satisfied
126071,satisfied
86071,unsatisfied
120410,satisfied
33901,satisfied
100000,satisfied
3609,satisfied
60419,unsatisfied
120595,satisfied
47831,unsatisfied
114446,satisfied
43031,unsatisfied
33174,unsatisfied
25014,satisfied
23914,satisfied
30707,satisfied
49317,unsatisfied
23311,unsatisfied
66760,unsatisfied
112570,satisfied
112240,satisfied
28777,unsatisfied
6268,unsatisfied
128535,satisfied
101760,satisfied
24623,unsatisfied
70049,unsatisfied
82152,unsatisfied
25320,satisfied
30405,satisfied
112953,satisfied
2014,satisfied
96518,satisfied
82853,unsatisfied
41782,unsatisfied
60099,satisfied
99913,satisfied
100597,satisfied
11580,unsatisfied
1725,unsatisfied
66902,unsatisfied
54494,unsatisfied
84783,unsatisfied
122037,satisfied
85242,unsatisfied
54408,unsatisfied
105975,unsatisfied
86075,unsatisfied
114686,satisfied
109853,satisfied
22180,satisfied
108525,satisfied
49520,satisfied
72229,satisfied
72663,unsatisfied
35942,unsatisfied
21630,satisfied
112924,satisfied
53050,unsatisfied
69921,unsatisfied
32808,satisfied
119761,satisfied
42533,unsatisfied
58330,satisfied
660,satisfied
10080,unsatisfied
85953,unsatisfied
3835,unsatisfied
117459,satisfied
5723,unsatisfied
72818,unsatisfied
101594,satisfied
44306,unsatisfied
53532,unsatisfied
47183,unsatisfied
128575,satisfied
90782,satisfied
125876,satisfied
62471,satisfied
85373,unsatisfied
99837,unsatisfied
84423,unsatisfied
106490,satisfied
110537,satisfied
48450,unsatisfied
63712,satisfied
83431,unsatisfied
11081,satisfied
79136,unsatisfied
43909,unsatisfied
11317,satisfied
86778,unsatisfied
40528,satisfied
110356,satisfied
69789,satisfied
76283,unsatisfied
81609,satisfied
108921,satisfied
96413,unsatisfied
3696,unsatisfied
106710,satisfied
82338,unsatisfied
55059,unsatisfied
100062,satisfied
47604,unsatisfied
92695,satisfied
19733,unsatisfied
30126,unsatisfied
15138,unsatisfied
39873,satisfied
16007,unsatisfied
103652,satisfied
122454,satisfied
70848,unsatisfied
45978,satisfied
98960,satisfied
12748,unsatisfied
74198,unsatisfied
84701,unsatisfied
39404,satisfied
11767,unsatisfied
3706,unsatisfied
30779,unsatisfied
8812,unsatisfied
41920,unsatisfied
95011,satisfied
119722,satisfied
41043,unsatisfied
75762,unsatisfied
52211,unsatisfied
2041,unsatisfied
8055,unsatisfied
27324,unsatisfied
86014,unsatisfied
21858,unsatisfied
23671,satisfied
109530,satisfied
44360,unsatisfied
94025,satisfied
30900,unsatisfied
64059,satisfied
56111,unsatisfied
71117,satisfied
113321,satisfied
48592,unsatisfied
78751,unsatisfied
39654,satisfied
11910,satisfied
64828,satisfied
32075,unsatisfied
114054,satisfied
85354,unsatisfied
16845,satisfied
97524,satisfied
58793,unsatisfied
90738,satisfied
24075,satisfied
63786,satisfied
124341,satisfied
81838,satisfied
122982,satisfied
74917,unsatisfied
102702,satisfied
60599,unsatisfied
71980,unsatisfied
62094,satisfied
70000,unsatisfied
98512,satisfied
99954,satisfied
71815,unsatisfied
67850,unsatisfied
13488,satisfied
76063,satisfied
109448,satisfied
2583,satisfied
27084,unsatisfied
15072,unsatisfied
47928,unsatisfied
76789,satisfied
95856,satisfied
115900,satisfied
104027,satisfied
96886,satisfied
88147,satisfied
67972,unsatisfied
99950,satisfied
78197,unsatisfied
65344,satisfied
81756,unsatisfied
115320,satisfied
58682,satisfied
71944,unsatisfied
46648,unsatisfied
23854,unsatisfied
61767,satisfied
62146,satisfied
38614,satisfied
76691,satisfied
62154,satisfied
112366,satisfied
47583,unsatisfied
82687,unsatisfied
35337,unsatisfied
76009,unsatisfied
129262,satisfied
118318,satisfied
124602,satisfied
87213,satisfied
27550,unsatisfied
75071,unsatisfied
93633,unsatisfied
5998,satisfied
35875,unsatisfied
101250,satisfied
118146,satisfied
11798,unsatisfied
50697,unsatisfied
109574,satisfied
123389,satisfied
96507,satisfied
15343,satisfied
85030,unsatisfied
66562,unsatisfied
100777,satisfied
114251,satisfied
89441,satisfied
124726,satisfied
41192,unsatisfied
35487,unsatisfied
116654,satisfied
91493,satisfied
84018,unsatisfied
100313,satisfied
123952,satisfied
83529,satisfied
126421,satisfied
28859,unsatisfied
23237,satisfied
90069,satisfied
26730,satisfied
43471,unsatisfied
68302,unsatisfied
69028,unsatisfied
6516,unsatisfied
82206,unsatisfied
38782,satisfied
63083,satisfied
67848,unsatisfied
58655,satisfied
30739,unsatisfied
78880,unsatisfied
100827,satisfied
21940,unsatisfied
59452,satisfied
40907,unsatisfied
48873,unsatisfied
112187,satisfied
119688,satisfied
66830,unsatisfied
43411,unsatisfied
120221,satisfied
102344,satisfied
15381,satisfied
7964,satisfied
23675,satisfied
