ID,satisfaction
46587,dissatisfied
124920,satisfied
18490,satisfied
78644,dissatisfied
92713,satisfied
29882,satisfied
16469,dissatisfied
58685,dissatisfied
30677,dissatisfied
8056,satisfied
18803,satisfied
74236,dissatisfied
3092,dissatisfied
48867,dissatisfied
67990,dissatisfied
2998,satisfied
108800,satisfied
62849,satisfied
98165,satisfied
84262,dissatisfied
97554,satisfied
76788,dissatisfied
93990,satisfied
53337,dissatisfied
84206,dissatisfied
47686,dissatisfied
23351,dissatisfied
16765,dissatisfied
11749,dissatisfied
123340,satisfied
93035,satisfied
92179,satisfied
14773,dissatisfied
62476,satisfied
59521,dissatisfied
50069,dissatisfied
58350,dissatisfied
111729,satisfied
49302,dissatisfied
99958,satisfied
45262,dissatisfied
871,satisfied
127572,satisfied
99768,satisfied
78878,satisfied
1166,satisfied
81482,satisfied
67102,dissatisfied
13845,dissatisfied
79679,satisfied
126133,satisfied
39631,satisfied
126071,satisfied
86071,dissatisfied
120410,satisfied
33901,dissatisfied
100000,satisfied
3609,satisfied
60419,dissatisfied
120595,satisfied
47831,dissatisfied
114446,satisfied
43031,dissatisfied
33174,dissatisfied
25014,satisfied
23914,satisfied
30707,satisfied
49317,dissatisfied
23311,dissatisfied
66760,dissatisfied
112570,satisfied
112240,satisfied
28777,dissatisfied
6268,dissatisfied
128535,satisfied
101760,satisfied
24623,dissatisfied
70049,dissatisfied
82152,dissatisfied
25320,satisfied
30405,satisfied
112953,satisfied
2014,satisfied
96518,satisfied
82853,dissatisfied
41782,dissatisfied
60099,satisfied
99913,satisfied
100597,satisfied
11580,dissatisfied
1725,dissatisfied
66902,dissatisfied
54494,dissatisfied
84783,dissatisfied
122037,satisfied
85242,dissatisfied
54408,dissatisfied
105975,dissatisfied
86075,dissatisfied
114686,satisfied
109853,satisfied
22180,satisfied
108525,satisfied
49520,dissatisfied
72229,satisfied
72663,dissatisfied
35942,dissatisfied
21630,satisfied
112924,satisfied
53050,dissatisfied
69921,dissatisfied
32808,dissatisfied
119761,satisfied
42533,dissatisfied
58330,satisfied
660,satisfied
10080,dissatisfied
85953,dissatisfied
3835,dissatisfied
117459,satisfied
5723,dissatisfied
72818,dissatisfied
101594,satisfied
44306,dissatisfied
53532,dissatisfied
47183,dissatisfied
128575,satisfied
90782,satisfied
125876,satisfied
62471,satisfied
85373,dissatisfied
99837,dissatisfied
84423,dissatisfied
106490,satisfied
110537,satisfied
48450,dissatisfied
63712,satisfied
83431,dissatisfied
11081,satisfied
79136,dissatisfied
43909,dissatisfied
11317,satisfied
86778,dissatisfied
40528,satisfied
110356,satisfied
69789,satisfied
76283,dissatisfied
81609,satisfied
108921,satisfied
96413,dissatisfied
3696,dissatisfied
106710,satisfied
82338,dissatisfied
55059,dissatisfied
100062,satisfied
47604,dissatisfied
92695,satisfied
19733,dissatisfied
30126,dissatisfied
15138,dissatisfied
39873,satisfied
16007,dissatisfied
103652,satisfied
122454,satisfied
70848,dissatisfied
45978,satisfied
98960,satisfied
12748,dissatisfied
74198,dissatisfied
84701,dissatisfied
39404,satisfied
11767,dissatisfied
3706,dissatisfied
30779,dissatisfied
8812,dissatisfied
41920,dissatisfied
95011,satisfied
119722,satisfied
41043,dissatisfied
75762,dissatisfied
52211,dissatisfied
2041,dissatisfied
8055,dissatisfied
27324,dissatisfied
86014,dissatisfied
21858,dissatisfied
23671,satisfied
109530,satisfied
44360,dissatisfied
94025,satisfied
30900,dissatisfied
64059,satisfied
56111,dissatisfied
71117,satisfied
113321,satisfied
48592,dissatisfied
78751,dissatisfied
39654,satisfied
11910,satisfied
64828,satisfied
32075,dissatisfied
114054,satisfied
85354,dissatisfied
16845,satisfied
97524,dissatisfied
58793,dissatisfied
90738,satisfied
24075,satisfied
63786,satisfied
124341,satisfied
81838,satisfied
122982,satisfied
74917,dissatisfied
102702,satisfied
60599,dissatisfied
71980,dissatisfied
62094,satisfied
70000,dissatisfied
98512,satisfied
99954,satisfied
71815,dissatisfied
67850,dissatisfied
13488,satisfied
76063,satisfied
109448,satisfied
2583,satisfied
27084,dissatisfied
15072,dissatisfied
47928,dissatisfied
76789,satisfied
95856,satisfied
115900,satisfied
104027,satisfied
96886,satisfied
88147,satisfied
67972,dissatisfied
99950,satisfied
78197,dissatisfied
65344,satisfied
81756,dissatisfied
115320,satisfied
58682,satisfied
71944,dissatisfied
46648,dissatisfied
23854,dissatisfied
61767,satisfied
62146,satisfied
38614,satisfied
76691,satisfied
62154,satisfied
112366,satisfied
47583,dissatisfied
82687,dissatisfied
35337,dissatisfied
76009,dissatisfied
129262,satisfied
118318,satisfied
124602,satisfied
87213,satisfied
27550,dissatisfied
75071,dissatisfied
93633,satisfied
5998,satisfied
35875,dissatisfied
101250,satisfied
118146,satisfied
11798,dissatisfied
50697,dissatisfied
109574,satisfied
123389,satisfied
96507,satisfied
15343,satisfied
85030,dissatisfied
66562,satisfied
100777,satisfied
114251,satisfied
89441,satisfied
124726,satisfied
41192,dissatisfied
35487,dissatisfied
116654,satisfied
91493,satisfied
84018,dissatisfied
100313,satisfied
123952,satisfied
83529,satisfied
126421,satisfied
28859,dissatisfied
23237,satisfied
90069,satisfied
26730,satisfied
43471,dissatisfied
68302,dissatisfied
69028,dissatisfied
6516,dissatisfied
82206,dissatisfied
38782,satisfied
63083,satisfied
67848,dissatisfied
58655,satisfied
30739,dissatisfied
78880,dissatisfied
100827,satisfied
21940,dissatisfied
59452,satisfied
40907,dissatisfied
48873,dissatisfied
112187,satisfied
119688,satisfied
66830,dissatisfied
43411,dissatisfied
120221,satisfied
102344,dissatisfied
15381,satisfied
7964,satisfied
23675,satisfied
29450,satisfied
27366,satisfied
11367,satisfied
40081,satisfied
2002,satisfied
46535,dissatisfied
49319,dissatisfied
72165,dissatisfied
75454,dissatisfied
95115,satisfied
5915,satisfied
63670,satisfied
36840,dissatisfied
110145,satisfied
15094,satisfied
30567,dissatisfied
121757,satisfied
103139,satisfied
82186,dissatisfied
75386,dissatisfied
123566,satisfied
47187,dissatisfied
95059,satisfied
103169,satisfied
126940,satisfied
29004,satisfied
4104,dissatisfied
52736,dissatisfied
112903,satisfied
35971,dissatisfied
93629,satisfied
10429,dissatisfied
47643,dissatisfied
50718,dissatisfied
49502,dissatisfied
5943,satisfied
48533,dissatisfied
20869,dissatisfied
69624,dissatisfied
49556,dissatisfied
78921,dissatisfied
20177,satisfied
17664,dissatisfied
10361,satisfied
7583,dissatisfied
111187,satisfied
100612,satisfied
50701,dissatisfied
63194,satisfied
121299,satisfied
40794,satisfied
7437,satisfied
76960,satisfied
94793,satisfied
112444,satisfied
105591,satisfied
17922,satisfied
69191,dissatisfied
15112,satisfied
55231,dissatisfied
92921,satisfied
25002,satisfied
120847,satisfied
117061,satisfied
122566,satisfied
12095,satisfied
42272,dissatisfied
39833,satisfied
29664,satisfied
32479,dissatisfied
73049,dissatisfied
80621,dissatisfied
111194,satisfied
113464,satisfied
20000,dissatisfied
127688,satisfied
81619,satisfied
70703,satisfied
10056,dissatisfied
121991,satisfied
35749,dissatisfied
50692,dissatisfied
12024,dissatisfied
89322,satisfied
77868,satisfied
31048,dissatisfied
242,satisfied
69043,dissatisfied
31360,dissatisfied
70930,dissatisfied
115399,satisfied
848,satisfied
31653,dissatisfied
101928,dissatisfied
28607,satisfied
125635,satisfied
128155,satisfied
7705,dissatisfied
11577,satisfied
54669,dissatisfied
83284,dissatisfied
122051,satisfied
67014,dissatisfied
81932,dissatisfied
70185,dissatisfied
1597,satisfied
112319,satisfied
30758,dissatisfied
40233,satisfied
50598,dissatisfied
11186,satisfied
119948,satisfied
35069,dissatisfied
121859,satisfied
81167,dissatisfied
10794,dissatisfied
35617,dissatisfied
106360,satisfied
40469,satisfied
60901,satisfied
104555,satisfied
30171,satisfied
61951,satisfied
27842,satisfied
119485,satisfied
109626,satisfied
102900,satisfied
110899,satisfied
45582,dissatisfied
128320,satisfied
84307,dissatisfied
83005,dissatisfied
35806,satisfied
60847,satisfied
14593,satisfied
121428,satisfied
105241,satisfied
39176,satisfied
17739,satisfied
60515,satisfied
17951,satisfied
68720,dissatisfied
16622,dissatisfied
48962,dissatisfied
77311,dissatisfied
16803,dissatisfied
48490,dissatisfied
108740,satisfied
96764,satisfied
4275,dissatisfied
123956,satisfied
20880,dissatisfied
76397,dissatisfied
39203,satisfied
39771,satisfied
24799,satisfied
90625,satisfied
47550,dissatisfied
16746,dissatisfied
118423,satisfied
64734,satisfied
59234,satisfied
55046,dissatisfied
12054,satisfied
121903,satisfied
75047,dissatisfied
124630,satisfied
71673,satisfied
83367,dissatisfied
67724,dissatisfied
25854,dissatisfied
22370,dissatisfied
129247,satisfied
8451,dissatisfied
89758,satisfied
100666,satisfied
109691,satisfied
42139,dissatisfied
62367,satisfied
123211,satisfied
18141,satisfied
91312,satisfied
72132,dissatisfied
113066,satisfied
47805,dissatisfied
14625,satisfied
25273,satisfied
109320,satisfied
13188,satisfied
9907,dissatisfied
112274,satisfied
56151,dissatisfied
37624,dissatisfied
42800,dissatisfied
123266,satisfied
101797,satisfied
44154,dissatisfied
102067,satisfied
110344,dissatisfied
100144,satisfied
74991,dissatisfied
21799,dissatisfied
5048,dissatisfied
96072,satisfied
21181,satisfied
53499,dissatisfied
84741,dissatisfied
62937,satisfied
122922,satisfied
30091,satisfied
73295,dissatisfied
766,satisfied
126673,satisfied
4578,satisfied
37210,dissatisfied
56097,dissatisfied
118569,satisfied
122422,satisfied
67834,dissatisfied
120584,satisfied
104578,satisfied
91634,satisfied
117133,satisfied
14795,dissatisfied
102961,satisfied
53484,dissatisfied
29180,dissatisfied
113216,satisfied
123535,satisfied
77024,dissatisfied
116127,satisfied
14669,satisfied
102109,satisfied
84002,dissatisfied
105793,satisfied
91879,satisfied
42777,dissatisfied
61610,satisfied
122874,satisfied
10953,satisfied
25802,dissatisfied
123159,satisfied
93684,satisfied
24095,dissatisfied
276,satisfied
37678,dissatisfied
112301,satisfied
121241,satisfied
105988,satisfied
31586,dissatisfied
46972,dissatisfied
42629,dissatisfied
7718,dissatisfied
140,satisfied
65611,satisfied
11571,satisfied
4065,dissatisfied
117976,satisfied
104220,satisfied
3747,satisfied
95254,dissatisfied
27283,satisfied
51612,dissatisfied
104645,satisfied
62188,satisfied
21897,dissatisfied
93654,satisfied
90706,dissatisfied
91237,satisfied
84285,satisfied
67532,dissatisfied
125136,satisfied
123044,satisfied
91049,satisfied
88336,satisfied
114236,satisfied
111873,satisfied
14167,satisfied
52897,dissatisfied
82989,dissatisfied
93073,satisfied
79334,dissatisfied
44990,dissatisfied
106701,satisfied
63321,satisfied
11404,satisfied
78778,satisfied
6477,dissatisfied
124655,satisfied
54417,dissatisfied
88795,satisfied
113338,satisfied
102873,satisfied
125236,satisfied
113389,satisfied
67779,dissatisfied
84940,satisfied
15855,dissatisfied
116760,satisfied
80084,satisfied
63967,satisfied
83963,dissatisfied
10709,dissatisfied
104618,satisfied
111538,satisfied
33330,dissatisfied
30583,dissatisfied
19427,satisfied
77899,satisfied
55616,dissatisfied
46417,dissatisfied
62641,satisfied
124447,satisfied
4150,dissatisfied
43976,dissatisfied
111551,satisfied
26242,dissatisfied
98939,satisfied
18172,dissatisfied
77061,dissatisfied
118679,satisfied
58512,satisfied
101713,satisfied
79690,satisfied
17633,satisfied
59245,dissatisfied
122444,satisfied
78726,dissatisfied
114039,satisfied
59027,satisfied
22336,dissatisfied
6496,dissatisfied
11393,satisfied
97064,satisfied
57353,satisfied
96660,dissatisfied
85479,dissatisfied
96008,satisfied
113315,satisfied
73600,dissatisfied
75511,dissatisfied
8311,dissatisfied
82239,satisfied
108805,satisfied
57959,dissatisfied
5985,satisfied
65033,satisfied
83509,satisfied
75745,satisfied
79730,dissatisfied
106776,dissatisfied
109020,satisfied
113616,satisfied
125198,satisfied
79848,satisfied
62400,satisfied
92203,satisfied
114485,satisfied
6189,dissatisfied
48704,dissatisfied
41757,dissatisfied
44024,dissatisfied
85618,dissatisfied
5343,dissatisfied
124764,satisfied
78419,dissatisfied
33240,satisfied
103524,satisfied
81788,satisfied
76547,dissatisfied
1750,satisfied
64244,satisfied
115317,satisfied
65647,satisfied
67952,dissatisfied
35421,dissatisfied
1886,dissatisfied
10622,dissatisfied
13182,satisfied
72281,dissatisfied
108004,satisfied
25558,satisfied
42657,dissatisfied
126219,satisfied
18202,satisfied
113941,satisfied
69937,dissatisfied
63907,satisfied
64715,satisfied
84812,dissatisfied
75557,dissatisfied
67020,dissatisfied
68458,dissatisfied
125033,satisfied
65770,satisfied
72006,dissatisfied
36050,dissatisfied
2385,satisfied
66886,dissatisfied
80417,satisfied
32661,dissatisfied
83860,dissatisfied
46176,dissatisfied
111278,satisfied
38772,satisfied
128218,satisfied
108714,satisfied
98508,satisfied
1430,dissatisfied
30889,dissatisfied
3939,satisfied
9303,dissatisfied
107639,satisfied
106952,satisfied
63745,satisfied
83212,dissatisfied
90246,satisfied
61539,satisfied
12813,satisfied
104847,dissatisfied
50016,dissatisfied
93147,satisfied
99994,satisfied
68043,dissatisfied
118749,satisfied
105984,satisfied
71715,satisfied
95035,satisfied
12199,dissatisfied
96202,satisfied
73584,dissatisfied
87560,satisfied
123970,satisfied
100018,satisfied
94474,satisfied
106615,satisfied
120964,satisfied
66942,dissatisfied
63608,satisfied
93110,satisfied
25739,satisfied
61388,satisfied
124013,satisfied
74640,dissatisfied
121105,satisfied
9570,dissatisfied
18563,dissatisfied
72588,dissatisfied
49899,dissatisfied
54143,dissatisfied
56794,satisfied
89616,satisfied
30327,dissatisfied
3154,satisfied
104206,satisfied
27683,satisfied
55747,dissatisfied
1995,dissatisfied
65664,satisfied
4775,dissatisfied
47731,dissatisfied
83738,dissatisfied
47717,dissatisfied
75464,dissatisfied
70630,satisfied
121112,satisfied
129849,dissatisfied
24204,satisfied
8666,dissatisfied
73130,dissatisfied
49192,dissatisfied
28929,satisfied
106476,satisfied
38816,satisfied
74564,dissatisfied
80364,satisfied
46943,dissatisfied
42486,dissatisfied
122687,satisfied
101151,dissatisfied
45166,dissatisfied
107001,satisfied
48615,dissatisfied
8655,satisfied
2140,satisfied
90220,satisfied
91167,satisfied
94002,dissatisfied
48782,dissatisfied
21865,satisfied
124073,satisfied
16083,satisfied
71933,dissatisfied
52168,dissatisfied
95609,satisfied
96750,satisfied
49760,dissatisfied
38457,satisfied
87825,satisfied
71262,satisfied
36597,dissatisfied
44277,dissatisfied
103600,satisfied
68460,dissatisfied
50080,dissatisfied
111281,satisfied
13828,satisfied
55581,dissatisfied
50656,dissatisfied
55100,dissatisfied
85452,dissatisfied
95468,satisfied
15590,dissatisfied
67246,dissatisfied
96811,satisfied
31677,dissatisfied
83604,satisfied
114725,satisfied
14976,satisfied
65200,satisfied
65914,dissatisfied
106070,satisfied
51836,dissatisfied
97856,dissatisfied
80764,satisfied
48260,dissatisfied
103135,satisfied
99240,satisfied
88881,satisfied
98045,satisfied
27635,dissatisfied
117465,satisfied
10300,dissatisfied
124358,satisfied
111435,satisfied
112066,satisfied
85971,dissatisfied
116848,satisfied
107705,satisfied
39372,satisfied
89339,satisfied
26636,dissatisfied
19156,satisfied
4677,dissatisfied
77154,dissatisfied
25296,dissatisfied
105205,dissatisfied
22314,dissatisfied
84876,dissatisfied
1498,satisfied
53748,dissatisfied
95445,satisfied
81548,dissatisfied
117575,satisfied
18397,dissatisfied
91976,satisfied
71938,dissatisfied
124981,satisfied
20486,dissatisfied
109400,satisfied
121934,satisfied
108734,satisfied
68515,dissatisfied
76597,satisfied
61352,satisfied
77650,satisfied
16123,satisfied
12221,dissatisfied
85096,dissatisfied
28077,dissatisfied
962,dissatisfied
13683,dissatisfied
55538,dissatisfied
59395,satisfied
20392,dissatisfied
22507,satisfied
113022,satisfied
76490,dissatisfied
115859,satisfied
89033,satisfied
128351,satisfied
71601,dissatisfied
95041,satisfied
71423,dissatisfied
32747,dissatisfied
108383,satisfied
127915,satisfied
101061,satisfied
34694,dissatisfied
32232,dissatisfied
50616,dissatisfied
77846,dissatisfied
105626,satisfied
59868,dissatisfied
317,satisfied
68455,dissatisfied
59233,satisfied
91993,satisfied
19119,satisfied
126229,satisfied
14102,satisfied
97688,satisfied
54493,satisfied
97928,satisfied
114383,satisfied
51958,dissatisfied
22722,dissatisfied
122106,satisfied
104871,satisfied
87306,dissatisfied
109186,satisfied
69745,dissatisfied
97180,dissatisfied
15314,satisfied
96602,satisfied
31335,dissatisfied
3031,satisfied
94122,satisfied
124759,satisfied
106319,satisfied
33907,dissatisfied
52102,dissatisfied
128054,satisfied
17788,dissatisfied
27838,satisfied
8920,dissatisfied
3872,dissatisfied
16188,dissatisfied
105664,dissatisfied
52314,satisfied
21688,dissatisfied
87114,dissatisfied
15445,dissatisfied
77233,dissatisfied
73388,satisfied
83669,dissatisfied
128381,satisfied
113282,satisfied
8721,satisfied
105192,satisfied
74566,dissatisfied
116649,satisfied
128459,satisfied
86641,dissatisfied
95005,satisfied
63303,satisfied
11409,dissatisfied
58326,satisfied
34349,dissatisfied
127046,satisfied
42437,dissatisfied
4474,satisfied
66018,dissatisfied
105184,dissatisfied
19745,satisfied
34613,dissatisfied
110334,satisfied
104736,satisfied
94335,satisfied
53149,dissatisfied
68040,dissatisfied
31281,dissatisfied
81426,satisfied
36856,dissatisfied
28416,satisfied
113071,satisfied
86584,dissatisfied
99048,dissatisfied
122047,satisfied
62387,satisfied
18645,satisfied
50823,dissatisfied
84570,dissatisfied
74620,dissatisfied
36094,satisfied
127681,satisfied
18878,satisfied
65927,dissatisfied
74546,satisfied
63137,satisfied
22576,dissatisfied
67146,dissatisfied
34343,dissatisfied
126776,satisfied
59663,satisfied
35437,dissatisfied
120025,satisfied
115192,satisfied
88635,dissatisfied
20089,satisfied
36479,satisfied
39693,satisfied
27012,satisfied
71000,dissatisfied
38332,dissatisfied
5965,satisfied
85896,dissatisfied
49490,dissatisfied
101939,satisfied
55845,dissatisfied
12716,satisfied
47426,dissatisfied
128410,satisfied
44372,dissatisfied
41376,dissatisfied
76314,dissatisfied
98651,satisfied
14890,satisfied
16629,dissatisfied
120539,satisfied
104174,satisfied
11840,dissatisfied
52127,dissatisfied
55034,dissatisfied
27130,dissatisfied
40279,satisfied
78983,dissatisfied
129625,satisfied
69127,dissatisfied
129194,satisfied
49998,dissatisfied
72521,dissatisfied
124305,satisfied
76572,dissatisfied
54491,dissatisfied
101413,satisfied
103409,satisfied
13343,satisfied
79780,satisfied
127211,satisfied
26736,dissatisfied
16591,satisfied
27369,satisfied
1379,satisfied
4080,satisfied
42524,dissatisfied
23917,dissatisfied
21346,satisfied
26042,satisfied
103205,satisfied
59825,satisfied
643,satisfied
66403,dissatisfied
86245,dissatisfied
65646,satisfied
102261,dissatisfied
122462,satisfied
78021,dissatisfied
126296,satisfied
108542,satisfied
28292,satisfied
39817,satisfied
18197,satisfied
55704,dissatisfied
30161,dissatisfied
123913,satisfied
47526,dissatisfied
2498,dissatisfied
52799,satisfied
117968,satisfied
20408,dissatisfied
11715,satisfied
110792,dissatisfied
79627,satisfied
116952,satisfied
122306,satisfied
41956,dissatisfied
14655,dissatisfied
7623,satisfied
23652,satisfied
78043,dissatisfied
65930,dissatisfied
33008,satisfied
76809,satisfied
62795,satisfied
124055,satisfied
108871,satisfied
3726,dissatisfied
111402,satisfied
21156,satisfied
68595,dissatisfied
103766,satisfied
12364,satisfied
85929,dissatisfied
88744,satisfied
125006,satisfied
20672,dissatisfied
87258,dissatisfied
112448,satisfied
126810,satisfied
88736,satisfied
39880,satisfied
42028,dissatisfied
118603,satisfied
35162,satisfied
95482,satisfied
16371,dissatisfied
23941,satisfied
26714,dissatisfied
121143,satisfied
57649,dissatisfied
126336,satisfied
36974,satisfied
47448,dissatisfied
115010,satisfied
78509,dissatisfied
99712,satisfied
52112,dissatisfied
55610,dissatisfied
23272,dissatisfied
24792,satisfied
76594,dissatisfied
24613,dissatisfied
109931,satisfied
2286,satisfied
109329,satisfied
98240,satisfied
104822,satisfied
25105,satisfied
1487,dissatisfied
102792,satisfied
71969,dissatisfied
36181,satisfied
30735,satisfied
97307,satisfied
40158,satisfied
64138,satisfied
32087,dissatisfied
33392,dissatisfied
87970,satisfied
73442,dissatisfied
104715,satisfied
2389,dissatisfied
57221,satisfied
8784,satisfied
118081,satisfied
71278,satisfied
8650,dissatisfied
20314,dissatisfied
110806,satisfied
30650,satisfied
117119,satisfied
7316,dissatisfied
81716,dissatisfied
84877,dissatisfied
79918,satisfied
81875,satisfied
99030,satisfied
5515,dissatisfied
74681,dissatisfied
33672,satisfied
108210,satisfied
126896,satisfied
72647,dissatisfied
34066,dissatisfied
78178,dissatisfied
106239,satisfied
58266,dissatisfied
24791,dissatisfied
58706,dissatisfied
87210,satisfied
12805,dissatisfied
84267,dissatisfied
3378,dissatisfied
89401,satisfied
127314,satisfied
17377,dissatisfied
38862,satisfied
74399,dissatisfied
52581,dissatisfied
121034,satisfied
32146,dissatisfied
45444,dissatisfied
90733,satisfied
54335,dissatisfied
53462,dissatisfied
98136,satisfied
106393,satisfied
117958,satisfied
17555,dissatisfied
54167,dissatisfied
23953,satisfied
127480,satisfied
56241,dissatisfied
121411,satisfied
120018,satisfied
63361,satisfied
82282,dissatisfied
72589,dissatisfied
99963,satisfied
109842,satisfied
79196,dissatisfied
86265,dissatisfied
71982,dissatisfied
3503,dissatisfied
51355,dissatisfied
118915,satisfied
42020,dissatisfied
76539,dissatisfied
79469,dissatisfied
93219,dissatisfied
100315,satisfied
27209,satisfied
69982,dissatisfied
8475,satisfied
33501,dissatisfied
69650,satisfied
40983,dissatisfied
46996,dissatisfied
56307,dissatisfied
21196,dissatisfied
111549,satisfied
22151,dissatisfied
59814,dissatisfied
33082,dissatisfied
110214,satisfied
97006,satisfied
122207,satisfied
6647,satisfied
53600,dissatisfied
76086,dissatisfied
76154,satisfied
39645,satisfied
82367,dissatisfied
29743,satisfied
55517,dissatisfied
10723,satisfied
129565,satisfied
30289,dissatisfied
42937,dissatisfied
124904,satisfied
65358,satisfied
104167,satisfied
93933,satisfied
7556,dissatisfied
87739,satisfied
56534,dissatisfied
1050,dissatisfied
62574,satisfied
30548,dissatisfied
60243,satisfied
19066,satisfied
118867,satisfied
25911,dissatisfied
92340,satisfied
80374,dissatisfied
96162,satisfied
28006,satisfied
17253,satisfied
44208,dissatisfied
14889,dissatisfied
92242,satisfied
82692,dissatisfied
52915,dissatisfied
13156,dissatisfied
2923,satisfied
24487,satisfied
60923,satisfied
74329,satisfied
108243,satisfied
83585,dissatisfied
52224,dissatisfied
29414,dissatisfied
75936,dissatisfied
19002,dissatisfied
77091,dissatisfied
58491,satisfied
46281,dissatisfied
97337,satisfied
3211,satisfied
124594,satisfied
107021,satisfied
40385,satisfied
127818,satisfied
104696,dissatisfied
116533,satisfied
5379,satisfied
91664,satisfied
29173,satisfied
110494,satisfied
12486,satisfied
85617,satisfied
28946,dissatisfied
17478,dissatisfied
120116,satisfied
43333,dissatisfied
92897,satisfied
25503,satisfied
84348,dissatisfied
23787,satisfied
44701,dissatisfied
82608,dissatisfied
77982,dissatisfied
89535,satisfied
22174,dissatisfied
97448,satisfied
27864,satisfied
109144,satisfied
59642,dissatisfied
83490,satisfied
102633,dissatisfied
59303,satisfied
8412,satisfied
47304,dissatisfied
112173,satisfied
72787,dissatisfied
17419,dissatisfied
71128,dissatisfied
97414,satisfied
30291,dissatisfied
7051,dissatisfied
116250,satisfied
46237,dissatisfied
105722,satisfied
91978,satisfied
118293,satisfied
42112,dissatisfied
16416,satisfied
94879,satisfied
27924,dissatisfied
116618,satisfied
64875,satisfied
96136,satisfied
80423,dissatisfied
32679,dissatisfied
77743,dissatisfied
44106,dissatisfied
103854,satisfied
70037,dissatisfied
38175,dissatisfied
93258,satisfied
25938,dissatisfied
117408,satisfied
32180,dissatisfied
34465,dissatisfied
22026,dissatisfied
90163,satisfied
31090,dissatisfied
37104,dissatisfied
33258,satisfied
50886,dissatisfied
30471,dissatisfied
68349,dissatisfied
52490,dissatisfied
103873,dissatisfied
64475,satisfied
98582,satisfied
50544,dissatisfied
36734,satisfied
73301,dissatisfied
14914,satisfied
110182,satisfied
19826,dissatisfied
62492,satisfied
34292,dissatisfied
41466,dissatisfied
128801,satisfied
91057,satisfied
123806,satisfied
13875,satisfied
114534,satisfied
83871,dissatisfied
123295,satisfied
5690,dissatisfied
